wealth,crra_pi_share_numeric,crra_pi_share_analytic,cara_pi_dollar_numeric,cara_pi_dollar_analytic_t0
0.6024,0.999997,1.000000,0.980231,0.980199
0.6049,0.999997,1.000000,0.980231,0.980199
0.6074,0.999997,1.000000,0.980231,0.980199
0.6100,0.999997,1.000000,0.980231,0.980199
0.6125,0.999997,1.000000,0.980231,0.980199
0.6150,0.999997,1.000000,0.980231,0.980199
0.6176,0.999997,1.000000,0.980231,0.980199
0.6202,0.999997,1.000000,0.980231,0.980199
0.6227,0.999998,1.000000,0.980231,0.980199
0.6253,0.999998,1.000000,0.980231,0.980199
0.6279,0.999998,1.000000,0.980231,0.980199
0.6305,0.999998,1.000000,0.980231,0.980199
0.6331,0.999998,1.000000,0.980231,0.980199
0.6358,0.999998,1.000000,0.980231,0.980199
0.6384,0.999998,1.000000,0.980231,0.980199
0.6410,0.999998,1.000000,0.980231,0.980199
0.6437,0.999998,1.000000,0.980231,0.980199
0.6464,0.999998,1.000000,0.980231,0.980199
0.6491,0.999998,1.000000,0.980231,0.980199
0.6518,0.999998,1.000000,0.980231,0.980199
0.6545,0.999999,1.000000,0.980231,0.980199
0.6572,0.999999,1.000000,0.980231,0.980199
0.6599,0.999999,1.000000,0.980231,0.980199
0.6626,0.999999,1.000000,0.980231,0.980199
0.6654,0.999999,1.000000,0.980231,0.980199
0.6682,0.999999,1.000000,0.980231,0.980199
0.6709,0.999999,1.000000,0.980231,0.980199
0.6737,0.999999,1.000000,0.980231,0.980199
0.6765,0.999999,1.000000,0.980231,0.980199
0.6793,0.999999,1.000000,0.980231,0.980199
0.6821,0.999999,1.000000,0.980231,0.980199
0.6850,0.999999,1.000000,0.980231,0.980199
0.6878,0.999999,1.000000,0.980231,0.980199
0.6907,0.999999,1.000000,0.980231,0.980199
0.6935,0.999999,1.000000,0.980231,0.980199
0.6964,0.999999,1.000000,0.980231,0.980199
0.6993,0.999999,1.000000,0.980231,0.980199
0.7022,0.999999,1.000000,0.980231,0.980199
0.7051,0.999999,1.000000,0.980231,0.980199
0.7080,0.999999,1.000000,0.980231,0.980199
0.7110,1.000000,1.000000,0.980231,0.980199
0.7139,1.000000,1.000000,0.980231,0.980199
0.7169,1.000000,1.000000,0.980231,0.980199
0.7199,1.000000,1.000000,0.980231,0.980199
0.7229,1.000000,1.000000,0.980231,0.980199
0.7259,1.000000,1.000000,0.980231,0.980199
0.7289,1.000000,1.000000,0.980231,0.980199
0.7319,1.000000,1.000000,0.980231,0.980199
0.7349,1.000000,1.000000,0.980231,0.980199
0.7380,1.000000,1.000000,0.980231,0.980199
0.7410,1.000000,1.000000,0.980231,0.980199
0.7441,1.000000,1.000000,0.980231,0.980199
0.7472,1.000000,1.000000,0.980231,0.980199
0.7503,1.000000,1.000000,0.980231,0.980199
0.7534,1.000000,1.000000,0.980231,0.980199
0.7565,1.000000,1.000000,0.980231,0.980199
0.7597,1.000000,1.000000,0.980231,0.980199
0.7628,1.000000,1.000000,0.980231,0.980199
0.7660,1.000000,1.000000,0.980231,0.980199
0.7692,1.000000,1.000000,0.980231,0.980199
0.7724,1.000000,1.000000,0.980231,0.980199
0.7756,1.000000,1.000000,0.980231,0.980199
0.7788,1.000000,1.000000,0.980231,0.980199
0.7820,1.000000,1.000000,0.980231,0.980199
0.7853,1.000000,1.000000,0.980231,0.980199
0.7885,1.000000,1.000000,0.980231,0.980199
0.7918,1.000000,1.000000,0.980231,0.980199
0.7951,1.000000,1.000000,0.980231,0.980199
0.7984,1.000000,1.000000,0.980231,0.980199
0.8017,1.000000,1.000000,0.980231,0.980199
0.8050,1.000000,1.000000,0.980231,0.980199
0.8084,1.000000,1.000000,0.980231,0.980199
0.8117,1.000000,1.000000,0.980231,0.980199
0.8151,1.000000,1.000000,0.980231,0.980199
0.8185,1.000000,1.000000,0.980231,0.980199
0.8219,1.000000,1.000000,0.980231,0.980199
0.8253,1.000000,1.000000,0.980231,0.980199
0.8287,1.000000,1.000000,0.980231,0.980199
0.8322,1.000000,1.000000,0.980231,0.980199
0.8356,1.000000,1.000000,0.980231,0.980199
0.8391,1.000000,1.000000,0.980231,0.980199
0.8426,1.000000,1.000000,0.980231,0.980199
0.8461,1.000000,1.000000,0.980231,0.980199
0.8496,1.000000,1.000000,0.980231,0.980199
0.8531,1.000000,1.000000,0.980231,0.980199
0.8566,1.000000,1.000000,0.980231,0.980199
0.8602,1.000000,1.000000,0.980231,0.980199
0.8638,1.000000,1.000000,0.980231,0.980199
0.8673,1.000000,1.000000,0.980231,0.980199
0.8709,1.000000,1.000000,0.980231,0.980199
0.8746,1.000000,1.000000,0.980231,0.980199
0.8782,1.000000,1.000000,0.980231,0.980199
0.8818,1.000000,1.000000,0.980231,0.980199
0.8855,1.000000,1.000000,0.980231,0.980199
0.8892,1.000000,1.000000,0.980231,0.980199
0.8929,1.000000,1.000000,0.980231,0.980199
0.8966,1.000000,1.000000,0.980231,0.980199
0.9003,1.000000,1.000000,0.980231,0.980199
0.9040,1.000000,1.000000,0.980231,0.980199
0.9078,1.000000,1.000000,0.980231,0.980199
0.9115,1.000000,1.000000,0.980231,0.980199
0.9153,1.000000,1.000000,0.980231,0.980199
0.9191,1.000000,1.000000,0.980231,0.980199
0.9229,1.000000,1.000000,0.980231,0.980199
0.9268,1.000000,1.000000,0.980231,0.980199
0.9306,1.000000,1.000000,0.980231,0.980199
0.9345,1.000000,1.000000,0.980231,0.980199
0.9383,1.000000,1.000000,0.980231,0.980199
0.9422,1.000000,1.000000,0.980231,0.980199
0.9461,1.000000,1.000000,0.980231,0.980199
0.9501,1.000000,1.000000,0.980231,0.980199
0.9540,1.000000,1.000000,0.980231,0.980199
0.9580,1.000000,1.000000,0.980231,0.980199
0.9620,1.000000,1.000000,0.980231,0.980199
0.9659,1.000000,1.000000,0.980231,0.980199
0.9700,1.000000,1.000000,0.980231,0.980199
0.9740,1.000000,1.000000,0.980231,0.980199
0.9780,1.000000,1.000000,0.980231,0.980199
0.9821,1.000000,1.000000,0.980231,0.980199
0.9862,1.000000,1.000000,0.980231,0.980199
0.9902,1.000000,1.000000,0.980231,0.980199
0.9944,1.000000,1.000000,0.980231,0.980199
0.9985,1.000000,1.000000,0.980231,0.980199
1.0026,1.000000,1.000000,0.980231,0.980199
1.0068,1.000000,1.000000,0.980231,0.980199
1.0110,1.000000,1.000000,0.980231,0.980199
1.0152,1.000000,1.000000,0.980231,0.980199
1.0194,1.000000,1.000000,0.980231,0.980199
1.0236,1.000000,1.000000,0.980231,0.980199
1.0279,1.000000,1.000000,0.980231,0.980199
1.0321,1.000000,1.000000,0.980231,0.980199
1.0364,1.000000,1.000000,0.980231,0.980199
1.0407,1.000000,1.000000,0.980231,0.980199
1.0450,1.000000,1.000000,0.980231,0.980199
1.0494,1.000000,1.000000,0.980231,0.980199
1.0537,1.000000,1.000000,0.980231,0.980199
1.0581,1.000000,1.000000,0.980231,0.980199
1.0625,1.000000,1.000000,0.980231,0.980199
1.0669,1.000000,1.000000,0.980231,0.980199
1.0713,1.000000,1.000000,0.980231,0.980199
1.0758,1.000000,1.000000,0.980231,0.980199
1.0802,1.000000,1.000000,0.980231,0.980199
1.0847,1.000000,1.000000,0.980231,0.980199
1.0892,1.000000,1.000000,0.980231,0.980199
1.0937,1.000000,1.000000,0.980231,0.980199
1.0983,1.000000,1.000000,0.980231,0.980199
1.1028,1.000000,1.000000,0.980231,0.980199
1.1074,1.000000,1.000000,0.980231,0.980199
1.1120,1.000000,1.000000,0.980231,0.980199
1.1166,1.000000,1.000000,0.980231,0.980199
1.1213,1.000000,1.000000,0.980231,0.980199
1.1259,1.000000,1.000000,0.980231,0.980199
1.1306,1.000000,1.000000,0.980231,0.980199
1.1353,1.000000,1.000000,0.980231,0.980199
1.1400,1.000000,1.000000,0.980231,0.980199
1.1447,1.000000,1.000000,0.980231,0.980199
1.1495,1.000000,1.000000,0.980231,0.980199
1.1542,1.000000,1.000000,0.980231,0.980199
1.1590,1.000000,1.000000,0.980231,0.980199
1.1638,1.000000,1.000000,0.980231,0.980199
1.1687,1.000000,1.000000,0.980231,0.980199
1.1735,1.000000,1.000000,0.980231,0.980199
1.1784,1.000000,1.000000,0.980231,0.980199
1.1833,1.000000,1.000000,0.980231,0.980199
1.1882,1.000000,1.000000,0.980231,0.980199
1.1931,1.000000,1.000000,0.980231,0.980199
1.1981,1.000000,1.000000,0.980231,0.980199
1.2030,1.000000,1.000000,0.980231,0.980199
1.2080,1.000000,1.000000,0.980231,0.980199
1.2130,1.000000,1.000000,0.980231,0.980199
1.2181,1.000000,1.000000,0.980231,0.980199
1.2231,1.000000,1.000000,0.980231,0.980199
1.2282,1.000000,1.000000,0.980231,0.980199
1.2333,1.000000,1.000000,0.980231,0.980199
1.2384,1.000000,1.000000,0.980231,0.980199
1.2436,1.000000,1.000000,0.980231,0.980199
1.2487,1.000000,1.000000,0.980231,0.980199
